time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2018-05-01 00:00:00,824.541,842.355,380.863,912.767
2018-05-02 00:00:00,825.748,843.698,380.863,927.026
2018-05-03 00:00:00,826.976,846.258,380.863,950.94
2018-05-04 00:00:00,828.21,847.381,380.863,973.352
2018-05-05 00:00:00,829.457,848.984,380.863,998.067
2018-05-06 00:00:00,832.957,848.984,405.462,998.067
2018-05-07 00:00:00,835.109,848.984,430.82,998.067
2018-05-08 00:00:00,836.431,851.482,430.82,1023.572
2018-05-09 00:00:00,837.728,852.306,430.82,1049.133
2018-05-10 00:00:00,839.57,855.588,430.82,1072.06
2018-05-11 00:00:00,843.771,855.588,438.621,1072.06
2018-05-12 00:00:00,844.927,857.264,438.621,1093.437
2018-05-13 00:00:00,847.369,857.264,455.9,1093.437
2018-05-14 00:00:00,850.275,857.264,463.999,1093.437
2018-05-15 00:00:00,851.676,860.798,463.999,1113.996
2018-05-16 00:00:00,852.947,861.624,463.999,1137.694
2018-05-17 00:00:00,855.162,865.444,463.999,1148.558
2018-05-18 00:00:00,856.736,866.535,463.999,1174.621
2018-05-19 00:00:00,858.0,868.256,463.999,1188.965
2018-05-20 00:00:00,863.626,868.256,468.032,1188.965
2018-05-21 00:00:00,866.597,868.256,489.981,1188.965
2018-05-22 00:00:00,868.636,868.256,513.197,1188.965
2018-05-23 00:00:00,869.954,869.673,513.197,1209.582
2018-05-24 00:00:00,871.114,871.631,513.197,1225.184
2018-05-25 00:00:00,872.328,872.89,513.198,1238.873
2018-05-26 00:00:00,873.567,875.0,513.198,1255.272
2018-05-27 00:00:00,877.077,875.0,532.574,1255.272
2018-05-28 00:00:00,881.36,875.0,543.847,1255.272
2018-05-29 00:00:00,882.84,875.319,543.848,1278.039
2018-05-30 00:00:00,883.843,876.064,543.862,1296.363
2018-05-31 00:00:00,884.815,876.404,543.895,1320.837
2018-06-01 00:00:00,885.813,876.708,543.943,1338.08
2018-06-02 00:00:00,886.812,877.099,543.991,1347.268
2018-06-03 00:00:00,888.381,877.099,549.971,1347.268
2018-06-04 00:00:00,889.704,877.099,562.98,1347.268
2018-06-05 00:00:00,890.74,877.466,562.982,1360.652
2018-06-06 00:00:00,891.793,877.866,562.982,1375.59
2018-06-07 00:00:00,892.755,878.168,562.996,1401.619
2018-06-08 00:00:00,893.767,878.535,563.012,1426.175
2018-06-09 00:00:00,895.041,884.655,563.015,1432.108
2018-06-10 00:00:00,900.632,884.655,581.774,1432.108
2018-06-11 00:00:00,904.111,884.655,601.081,1432.108
2018-06-12 00:00:00,905.447,885.609,601.081,1455.885
2018-06-13 00:00:00,906.768,886.856,601.083,1464.009
2018-06-14 00:00:00,908.168,889.246,601.083,1472.244
2018-06-15 00:00:00,909.494,890.604,601.084,1485.816
2018-06-16 00:00:00,910.76,891.827,601.084,1502.189
2018-06-17 00:00:00,914.052,891.827,615.492,1502.189
2018-06-18 00:00:00,919.99,891.827,622.126,1502.189
2018-06-19 00:00:00,921.356,892.721,622.126,1508.288
2018-06-20 00:00:00,922.569,895.381,622.126,1514.529
2018-06-21 00:00:00,923.648,897.928,622.129,1532.109
2018-06-22 00:00:00,924.982,900.48,622.129,1550.22
2018-06-23 00:00:00,926.219,905.914,622.129,1562.452
2018-06-24 00:00:00,930.071,905.914,631.693,1562.452
2018-06-25 00:00:00,933.743,905.914,637.005,1562.452
2018-06-26 00:00:00,935.007,908.678,637.005,1576.535
2018-06-27 00:00:00,936.584,910.535,637.005,1600.243
2018-06-28 00:00:00,937.678,911.171,637.01,1621.52
2018-06-29 00:00:00,939.157,913.644,637.01,1644.075
2018-06-30 00:00:00,940.545,915.076,637.01,1665.331
2018-07-01 00:00:00,943.423,915.076,662.234,1665.331
2018-07-02 00:00:00,945.532,915.076,685.477,1665.331
2018-07-03 00:00:00,946.867,918.002,685.477,1689.601
2018-07-04 00:00:00,948.16,918.872,685.478,1714.402
2018-07-05 00:00:00,949.376,921.994,685.485,1733.611
2018-07-06 00:00:00,950.721,923.088,685.486,1757.369
2018-07-07 00:00:00,952.013,923.772,685.486,1775.873
2018-07-08 00:00:00,955.076,923.772,706.501,1775.873
2018-07-09 00:00:00,957.011,923.772,729.98,1775.873
2018-07-10 00:00:00,958.351,925.875,729.98,1786.969
2018-07-11 00:00:00,959.803,927.689,729.98,1800.058
2018-07-12 00:00:00,961.096,929.637,729.98,1811.277
2018-07-13 00:00:00,962.585,930.359,729.98,1834.453
2018-07-14 00:00:00,964.005,932.184,729.98,1856.285
2018-07-15 00:00:00,966.895,932.184,753.956,1856.285
2018-07-16 00:00:00,970.929,932.184,775.174,1856.285
2018-07-17 00:00:00,972.439,934.059,775.174,1875.269
2018-07-18 00:00:00,973.816,937.053,775.174,1895.836
2018-07-19 00:00:00,975.113,938.684,775.174,1913.209
2018-07-20 00:00:00,976.45,940.96,775.174,1929.828
2018-07-21 00:00:00,978.049,941.559,775.174,1952.774
2018-07-22 00:00:00,980.278,941.559,794.519,1952.774
2018-07-23 00:00:00,982.076,941.559,806.863,1952.774
2018-07-24 00:00:00,983.27,943.068,806.864,1974.214
2018-07-25 00:00:00,984.696,943.932,806.864,1995.531
2018-07-26 00:00:00,986.032,945.06,806.864,2016.539
2018-07-27 00:00:00,987.479,946.933,806.864,2036.669
